Tag,Selected Attributes
DeviceInstance,"{""Id"": ""P-07BC-0_DI-71"", ""Address"": ""41"", ""Name"": ""G.F Living Areas Touch-MyDesign Plus 8"", ""ProductRefId"": ""M-0071_H-ZVI.2DTMDP8-0_P-ZVI.2DTMDP8"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVI.2DTMDP8-0_HP-5361-14-BD97"", ""Description"": """", ""Puid"": ""1348""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-72"", ""Address"": ""35"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X6-1_P-ZVIT55X6"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X6-1_HP-5941-18-10EC"", ""Description"": """", ""Puid"": ""1349""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-73"", ""Address"": ""36"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X6-1_P-ZVIT55X6"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X6-1_HP-5941-18-10EC"", ""Description"": """", ""Puid"": ""1350""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-74"", ""Address"": ""40"", ""Name"": ""Majlis & Dining Touch-MyDesign Plus 6"", ""ProductRefId"": ""M-0071_H-ZVI.2DTMDP6-0_P-ZVI.2DTMDP6"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVI.2DTMDP6-0_HP-5351-14-74E3"", ""Description"": """", ""Puid"": ""1351""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-85"", ""Address"": ""43"", ""Name"": ""Majlis & Dining G.F Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1368""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-86"", ""Address"": ""42"", ""Name"": "" Living Room Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1369""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-87"", ""Address"": ""44"", ""Name"": ""Sun Room Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1370""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-88"", ""Address"": ""45"", ""Name"": ""Master Room Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1371""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-89"", ""Address"": ""46"", ""Name"": ""Room 1 Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1372""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-90"", ""Address"": ""47"", ""Name"": ""Room 2 Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1373""}"
