GroupAddressId,RawAddress,Name,DatapointType,LinkedDeviceCount,LinkedDevices,SuggestedLogicalDomain
P-07BC-0_GA-759,2188,On/Off 71,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-760,2189,On/Off 71 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-761,2190,On/Off 72,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-762,2191,On/Off 72 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-763,2304,D64 Dimming Info,DPST-5-1,0,,Lighting
P-07BC-0_GA-764,2305,D1 ON/Off,DPST-1-1,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-765,2306,D1 ON/Off Info,DPST-5-1,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-766,2307,D1 Dimming,DPST-5-1,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-767,2308,D1 Dimming  Info,DPST-3-7,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-768,2309,D2 ON/Off,DPST-1-1,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-769,2310,D2 ON/Off Info,DPST-5-1,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-770,2311,D2 Dimming,DPST-5-1,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-771,2312,D2 Dimming  Info,DPST-3-7,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-772,2313,D3 ON/Off,DPST-1-1,2,P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
