GroupAddressId,RawAddress,Name,DatapointType,GroupRangeId,GroupRangeName,Attributes
P-07BC-0_GA-941,2482,D45 ON/Off Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-941"", ""Address"": ""2482"", ""Name"": ""D45 ON/Off Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""970""}"
P-07BC-0_GA-942,2483,D45 Dimming ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-942"", ""Address"": ""2483"", ""Name"": ""D45 Dimming "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""971""}"
P-07BC-0_GA-943,2484,D45 Dimming Info ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-943"", ""Address"": ""2484"", ""Name"": ""D45 Dimming Info "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""972""}"
P-07BC-0_GA-944,2485,D46 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-944"", ""Address"": ""2485"", ""Name"": ""D46 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""973""}"
P-07BC-0_GA-945,2486,D46 ON/Off Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-945"", ""Address"": ""2486"", ""Name"": ""D46 ON/Off Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""974""}"
P-07BC-0_GA-946,2487,D46 Dimming ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-946"", ""Address"": ""2487"", ""Name"": ""D46 Dimming "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""975""}"
P-07BC-0_GA-947,2488,D46 Dimming Info ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-947"", ""Address"": ""2488"", ""Name"": ""D46 Dimming Info "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""976""}"
P-07BC-0_GA-948,2489,D47 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-948"", ""Address"": ""2489"", ""Name"": ""D47 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""977""}"
P-07BC-0_GA-949,2490,D47 ON/Off Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-949"", ""Address"": ""2490"", ""Name"": ""D47 ON/Off Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""978""}"
P-07BC-0_GA-950,2491,D47 Dimming ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-950"", ""Address"": ""2491"", ""Name"": ""D47 Dimming "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""979""}"
P-07BC-0_GA-951,2492,D47 Dimming Info ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-951"", ""Address"": ""2492"", ""Name"": ""D47 Dimming Info "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""980""}"
